Latitude,Longitude,Datum,Horizontal Accuracy,State Code,County Code,Site Num,Parameter Code,POC,AQS Parameter Desc,Date Local,24 Hour Local,Date GMT,24 Hour GMT,Year GMT,Day In Year GMT,Sample Measurement,Units of Measure,Sample Duration,Sample Frequency,Detection Limit,Measurement Uncertainty,Qualifier Description,Method Type,Method Description
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-01","06:00","2018-01-01","14:00",2018,1,42,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-01","07:00","2018-01-01","15:00",2018,1,46,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-01","05:00","2018-01-01","13:00",2018,1,37,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-01","04:00","2018-01-01","12:00",2018,1,43,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-01","03:00","2018-01-01","11:00",2018,1,56,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-01","02:00","2018-01-01","10:00",2018,1,67,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-01","01:00","2018-01-01","09:00",2018,1,65,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","23:00","2018-01-16","07:00",2018,16,23,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","23:00","2018-01-16","07:00",2018,16,25,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","22:00","2018-01-16","06:00",2018,16,44,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","22:00","2018-01-16","06:00",2018,16,55,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","00:00","2018-01-15","08:00",2018,15,15,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","00:00","2018-01-15","08:00",2018,15,7,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","20:00","2018-01-16","04:00",2018,16,48,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","20:00","2018-01-16","04:00",2018,16,23,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","19:00","2018-01-16","03:00",2018,16,44,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","19:00","2018-01-16","03:00",2018,16,37,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","21:00","2018-01-16","05:00",2018,16,53,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","21:00","2018-01-16","05:00",2018,16,25,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","18:00","2018-01-16","02:00",2018,16,73,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","18:00","2018-01-16","02:00",2018,16,48,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","17:00","2018-01-16","01:00",2018,16,28,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","17:00","2018-01-16","01:00",2018,16,55,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","15:00","2018-01-15","23:00",2018,15,18,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","15:00","2018-01-15","23:00",2018,15,46,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","14:00","2018-01-15","22:00",2018,15,14,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","14:00","2018-01-15","22:00",2018,15,26,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","16:00","2018-01-16","00:00",2018,16,23,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","16:00","2018-01-16","00:00",2018,16,70,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","13:00","2018-01-15","21:00",2018,15,10,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","13:00","2018-01-15","21:00",2018,15,23,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","11:00","2018-01-15","19:00",2018,15,12,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","11:00","2018-01-15","19:00",2018,15,16,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","12:00","2018-01-15","20:00",2018,15,14,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","12:00","2018-01-15","20:00",2018,15,36,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","09:00","2018-01-15","17:00",2018,15,46,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","09:00","2018-01-15","17:00",2018,15,18,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.669739,-118.130511,"NAD83",151.82,"06","037","9033","81102",2,"PM10 Total 0-10um STP","2018-01-15","08:00","2018-01-15","16:00",2018,15,43,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
34.14435,-117.85036,"WGS84",0,"06","037","0016","81102",3,"PM10 Total 0-10um STP","2018-01-15","08:00","2018-01-15","16:00",2018,15,10,"Micrograms/cubic meter (25 C)","1 HOUR","",4,,"","Equivalent","INSTRUMENT MET ONE 4 MODELS-BETA ATTENUATION"
